,events,character
0,Category:Deceased individuals,Giffard Abbott
1,Category:Deceased individuals,Falco Aesalon
2,Category:Deceased individuals,Walter Aragon
3,Category:Deceased individuals,Podric Batworthy
4,Category:Deceased individuals,Bragbor the Boastful
5,Category:Deceased individuals,Angus Buchanan
6,Category:Deceased individuals,Zygmunt Budge
7,Category:Deceased individuals,Henry Bumblepuft
8,Category:Deceased individuals,Elizabeth Burke
9,Category:Deceased individuals,Cliodna
10,Category:Deceased individuals,Antonia Creaseworthy
11,Category:Deceased individuals,Crookshanks
12,Category:Deceased individuals,Marmaduke Dale
13,Category:Deceased individuals,Deek and Tobbs's first master
14,Category:Deceased individuals,Petunia Dursley
15,Category:Deceased individuals,Ekrizdis
16,Category:Deceased individuals,Ethelred the Ever-Ready
17,Category:Deceased individuals,Category:Executed individuals
18,Category:Deceased individuals,Fat Lady
19,Category:Deceased individuals,Wilhelm Fischer
20,Category:Deceased individuals,Niamh Fitzgerald
21,Category:Deceased individuals,Frazier
22,Category:Deceased individuals,Basil Fronsac
23,Category:Deceased individuals,Corvinus Gaunt
24,Category:Deceased individuals,Ominis Gaunt
25,Category:Deceased individuals,Ominis Gaunt's father
26,Category:Deceased individuals,Ominis Gaunt's mother
27,Category:Deceased individuals,Ominis Gaunt's older siblings
28,Category:Deceased individuals,Ominis Gaunt's younger sister
29,Category:Deceased individuals,Category:Ghosts
30,Category:Deceased individuals,Godfrey
31,Category:Deceased individuals,Godfrey the Gormless
32,Category:Deceased individuals,Gondulphus Graves
33,Category:Deceased individuals,Aquila Greengrass
34,Category:Deceased individuals,Robert Grimsditch
35,Category:Deceased individuals,Godric Gryffindor
36,Category:Deceased individuals,First Headmaster of Hogwarts
37,Category:Deceased individuals,Hedwig (wizard)
38,Category:Deceased individuals,Helga Hufflepuff
39,Category:Deceased individuals,Category:Individuals by death
40,Category:Deceased individuals,Mary Jauncey
41,Category:Deceased individuals,Mustafa Kama
42,Category:Deceased individuals,Silvanus Kettleburn
43,Category:Deceased individuals,Kreacher
44,Category:Deceased individuals,Linfred of Stinchcombe
45,Category:Deceased individuals,Carlos Lopez
46,Category:Deceased individuals,Mungo MacDuff
47,Category:Deceased individuals,Armand Malfoy
48,Category:Deceased individuals,Lucius Malfoy I
49,Category:Deceased individuals,Gregor McQueen
50,Category:Deceased individuals,Morfin Gaunt's first snake
51,Category:Deceased individuals,Isidora Morganach's brother
52,Category:Deceased individuals,Burdock Muldoon
53,Category:Deceased individuals,Napier
54,Category:Deceased individuals,Cormac O'Brien
55,Category:Deceased individuals,Adelaide Oakes's father
56,Category:Deceased individuals,Odo
57,Category:Deceased individuals,Opal Necklace's unidentified victims
58,Category:Deceased individuals,Antioch Peverell's killer
59,Category:Deceased individuals,Ignotus Peverell's son
60,Category:Deceased individuals,Iolanthe Peverell
61,Category:Deceased individuals,Gulliver Pokeby
62,Category:Deceased individuals,Portrait of a Healer in St Mungo's Hospital
63,Category:Deceased individuals,Abraham Potter
64,Category:Deceased individuals,Hardwin Potter
65,Category:Deceased individuals,Hardwin Potter's siblings
66,Category:Deceased individuals,Henry Potter's mother
67,Category:Deceased individuals,Ralston Potter
68,Category:Deceased individuals,Ferdinand Octavius Pratt
69,Category:Deceased individuals,Berthilde Roche
70,Category:Deceased individuals,Victor Rookwood's father
71,Category:Deceased individuals,Edessa Sakndenberg
72,Category:Deceased individuals,Brutus Scrimgeour
73,Category:Deceased individuals,Gareth Seaford
74,Category:Deceased individuals,Leticia Somnolens
75,Category:Deceased individuals,Phyllida Spore
76,Category:Deceased individuals,James Steward
77,Category:Deceased individuals,Amrose Swott
78,Category:Deceased individuals,Quentin Trimble
79,Category:Deceased individuals,Greville Twiddle
80,Category:Deceased individuals,Fytherley Undercliffe
81,Category:Deceased individuals,Vindictus Viridian
82,Category:Deceased individuals,Nerida Vulchanova
83,Category:Deceased individuals,Warlock's family
84,Category:Deceased individuals,Helmut Weiss
85,Category:Deceased individuals,Bridget Wenlock's cousin
86,Category:Deceased individuals,Heliotrope Wilkins
87,Category:Deceased individuals,Wizard's father
88,Category:Deceased individuals,Indira Wolff's father
89,Category:Deceased individuals,Blaise Zabini's mother's seven husbands
90,Category:Deities,Angel of Death
91,Category:Deities,Artemis (goddess)
92,Category:Deities,Bast
93,Category:Deities,Devil
94,Category:Deities,God
95,Category:Deities,Jesus
96,Category:Deities,The Fates
97,Category:Disowned individuals,Angus Buchanan
98,Category:Disowned individuals,Bartemius Crouch Junior
99,Category:Disowned individuals,Category:Disowned members of the House of Black
100,Category:Disowned individuals,Merope Riddle
101,Category:Disowned individuals,Rionach Sayre
102,Category:Fictional characters,Altheda
103,Category:Fictional characters,Amata
104,Category:Fictional characters,Amata's lover
105,Category:Fictional characters,Asha
106,Category:Fictional characters,Britannia
107,Category:Fictional characters,Captain of the Brigade of Witch-Hunters
108,Category:Fictional characters,Charlatan
109,Category:Fictional characters,Crapaud
110,Category:Fictional characters,Death (The Tale of the Three Brothers)
111,Category:Fictional characters,Count Dracula
112,Category:Fictional characters,Evil sorcerer
113,Category:Fictional characters,Father Christmas
114,Category:Fictional characters,Flurry
115,Category:Fictional characters,Grenouille
116,Category:Fictional characters,Grumble
117,Category:Fictional characters,Dirgah Hagrid
118,Category:Fictional characters,The Hopping Pot
119,Category:Fictional characters,King (Babbitty Rabbitty and her Cackling Stump)
120,Category:Fictional characters,Maiden
121,Category:Fictional characters,Maiden's kinsfolk
122,Category:Fictional characters,Martin Miggs
123,Category:Fictional characters,Loony Nonby
124,Category:Fictional characters,Old man
125,Category:Fictional characters,Old man's donkey
126,Category:Fictional characters,Old man's family
127,Category:Fictional characters,Peasant woman
128,Category:Fictional characters,Peasant woman's granddaughter
129,Category:Fictional characters,Pudubec
130,Category:Fictional characters,Babbitty Rabbitty
131,Category:Fictional characters,Sabre
132,Category:Fictional characters,Sir Luckless
